ID transfer: 1 Date 2023.07.21 time 04:18:57 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 2 Date 2023.07.21 time 05:33:22 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 3 Date 2023.07.21 time 05:41:22 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 4 Date 2023.07.21 time 05:41:33 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110005, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 5 Date 2023.07.21 time 05:41:39 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 6 Date 2023.07.21 time 05:41:42 PM MSK Card of sender: 1111000011110021, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 7 Date 2023.07.21 time 05:41:48 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 8 Date 2023.07.21 time 05:44:15 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 9 Date 2023.07.21 time 05:44:20 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110012, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.21 time 05:56:06 PM MSK Card of sender: 1111000011110011, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.21 time 05:56:58 PM MSK Card of sender: 1111000011110011, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.21 time 06:03:37 PM MSK Card of sender: 1111000011110011, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.21 time 06:06:09 PM MSK Card of sender: 1111000011110011, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.22 time 02:09:19 PM MSK Card of sender: 1111000011110011, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.22 time 02:11:01 PM MSK Card of sender: 1111000011110011, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 2 Date 2023.07.22 time 02:11:08 PM MSK Card of sender: 1111000011110011, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.24 time 10:36:17 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 2 Date 2023.07.24 time 10:36:21 AM MSK Card of sender: 1111000011110101, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.24 time 10:37:49 AM MSK Card of sender: 1111000011110101, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 2 Date 2023.07.24 time 10:43:07 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 3 Date 2023.07.24 time 10:43:19 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110005, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.24 time 10:44:59 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 2 Date 2023.07.24 time 10:45:06 AM MSK Card of sender: 1111000011110101, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.24 time 10:47:20 AM MSK Card of sender: 1111000011110101, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 1 Date 2023.07.24 time 10:48:27 AM MSK Card of sender: 1111000011110101, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 2 Date 2023.07.24 time 10:49:11 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110007, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 3 Date 2023.07.24 time 10:49:21 AM MSK Card of sender: 1111000011110101, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 4 Date 2023.07.24 time 10:49:26 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 5 Date 2023.07.24 time 10:50:18 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10000,  commission of transfer:1000, operation result: false
ID transfer: 1 Date 2023.07.24 time 10:51:37 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10000,  commission of transfer:1000, operation result: false
ID transfer: 2 Date 2023.07.24 time 10:54:23 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:1500,  commission of transfer:150, operation result: true
ID transfer: 1 Date 2023.07.24 time 10:55:56 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:1500,  commission of transfer:150, operation result: true
ID transfer: 1 Date 2023.07.24 time 10:59:37 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10000,  commission of transfer:1000, operation result: false
ID transfer: 2 Date 2023.07.24 time 10:59:48 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: true
ID transfer: 3 Date 2023.07.24 time 10:59:55 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: true
ID transfer: 4 Date 2023.07.24 time 10:59:56 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: true
ID transfer: 5 Date 2023.07.24 time 10:59:56 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: true
ID transfer: 6 Date 2023.07.24 time 10:59:57 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: true
ID transfer: 7 Date 2023.07.24 time 10:59:57 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: true
ID transfer: 8 Date 2023.07.24 time 10:59:58 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: true
ID transfer: 9 Date 2023.07.24 time 10:59:59 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: true
ID transfer: 10 Date 2023.07.24 time 11:00:26 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
ID transfer: 11 Date 2023.07.24 time 11:02:31 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:1000,  commission of transfer:100, operation result: true
ID transfer: 1 Date 2023.07.24 time 11:12:53 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: true
ID transfer: 1 Date 2023.07.24 time 11:14:09 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: true
ID transfer: 2 Date 2023.07.24 time 11:14:13 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: true
ID transfer: 3 Date 2023.07.24 time 11:14:13 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: true
ID transfer: 4 Date 2023.07.24 time 11:14:14 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: true
ID transfer: 5 Date 2023.07.24 time 11:14:54 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:1100,  commission of transfer:110, operation result: true
ID transfer: 6 Date 2023.07.24 time 11:15:12 AM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: true
ID transfer: 8 Date 2023.07.24 time 11:05:19 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110006, amount of transfer:10,  commission of transfer:1, operation result: false
ID transfer: 9 Date 2023.07.24 time 11:05:30 PM MSK Card of sender: 1111000011110002, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: false
ID transfer: 10 Date 2023.07.24 time 11:05:39 PM MSK Card of sender: 1111000011110002, card of recipient:1111000011110002, amount of transfer:1000,  commission of transfer:100, operation result: false
ID transfer: 11 Date 2023.07.24 time 11:05:47 PM MSK Card of sender: 1111000011110002, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: false
ID transfer: 12 Date 2023.07.24 time 11:05:58 PM MSK Card of sender: 1111000011110002, card of recipient:1111000011110002, amount of transfer:10,  commission of transfer:1, operation result: false
ID transfer: 15 Date 2023.07.24 time 11:06:15 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:10000,  commission of transfer:1000, operation result: false
ID transfer: 1 Date 2023.07.24 time 11:09:06 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110001, amount of transfer:1000,  commission of transfer:100, operation result: true
ID transfer: 2 Date 2023.07.24 time 11:10:03 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:1200,  commission of transfer:120, operation result: true
ID transfer: 3 Date 2023.07.24 time 11:10:23 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110004, amount of transfer:12300,  commission of transfer:1230, operation result: false
ID transfer: 4 Date 2023.07.24 time 11:10:40 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110004, amount of transfer:12300,  commission of transfer:1230, operation result: false
ID transfer: 5 Date 2023.07.24 time 11:10:54 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:12300,  commission of transfer:1230, operation result: false
ID transfer: 6 Date 2023.07.24 time 11:10:59 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:12300,  commission of transfer:1230, operation result: false
ID transfer: 7 Date 2023.07.24 time 11:11:09 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:1000,  commission of transfer:100, operation result: true
ID transfer: 8 Date 2023.07.24 time 11:11:30 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110005, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 9 Date 2023.07.24 time 11:11:39 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: false
ID transfer: 10 Date 2023.07.24 time 11:12:12 PM MSK Card of sender: 1111000011110001, card of recipient:1111000011110002, amount of transfer:100,  commission of transfer:10, operation result: true
